school,title,year
洛阳科技职业学院,胖东来——企业经营案例分析报告,2025
洛阳科技职业学院,涅槃与重构:瑞幸咖啡经营案例分析,2025
洛阳科技职业学院,从潮流杂货铺到全球潮玩巨头的蜕变——泡泡玛特企业经营案例分析报告,2025
洛阳科技职业学院,锅圈食汇-社区数字化零售案例分析,2025
洛阳科技职业学院,竞合与突围：美团外卖经营案例分析,2025
洛阳科技职业学院,蜜雪冰城经营案例分析报告--基于郑州地区,2025
洛阳科技职业学院,顺丰控股--企业经营分析报告,2025
洛阳科技职业学院,小米集团新零售战略转型与全球化布局,2025
洛阳科技职业学院,一根辣条的全球狂欢:卫龙食品的“中国味”出海战略与数字化经营创新研究,2025
洛阳科技职业学院,从企业物流到物流企业：京东物流一体化供应链模式案例,2025
洛阳理工学院,拼多多在河南市场的发展实践：探索数字经济赋能区域特色产业的创新路径,2025
